basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-target-inventory-level
276778,401,394,0,90,953,803,62
276778,391,380,156,96,841,780,52
276778,449,431,3,276,1143,898,46
276778,498,479,2,360,1128,992,122
276778,310,296,30,168,780,620,51
276778,648,616,33,426,1489,1291,121
276778,773,761,49,276,2649,1530,16
276778,332,317,0,216,852,660,51
276778,657,622,2,366,1919,1345,93
276778,369,364,132,0,903,738,13
276778,476,466,0,294,1115,952,61
276778,509,503,19,54,1276,1017,37
276778,446,440,53,240,1205,892,54
276778,343,336,2,150,1140,688,24
276778,609,526,75,312,1556,1259,48
276778,412,406,6,204,1219,821,12
973898,395,379,278,0,816,398,23
973898,388,368,209,0,737,390,25
973898,444,426,146,0,919,444,19
973898,488,465,0,108,1033,497,35
973898,305,291,35,0,720,306,9
973898,630,602,0,84,1296,631,31
973898,783,771,254,0,2343,824,13
973898,320,312,162,0,682,323,8
973898,628,608,159,0,1483,661,25
973898,269,230,71,48,485,362,135
973898,464,449,0,72,957,466,17
973898,500,477,0,48,1026,501,31
973898,441,416,0,72,881,441,25
973898,336,329,234,0,866,338,7
973898,583,562,561,0,1391,630,36
973898,403,388,25,48,975,410,20
973899,395,390,0,144,846,397,13
973899,385,381,4,372,824,390,8
973899,439,436,2,312,1093,441,3
973899,493,485,28,468,1276,500,14
973899,302,300,40,180,847,308,1
973899,634,629,0,528,1440,636,6
973899,783,778,260,240,2883,794,9
973899,304,303,34,264,701,308,3
973899,590,582,83,408,1658,615,14
973899,344,343,26,48,830,345,0
973899,464,461,11,396,1095,467,1
973899,501,496,43,84,1162,501,5
973899,447,444,45,324,1070,447,3
973899,323,320,139,156,1021,324,4
973899,567,564,185,324,1693,616,6
973899,395,392,175,168,1217,397,4
973901,394,390,127,0,966,518,8
973901,385,384,165,108,929,561,7
973901,438,435,236,48,1181,541,8
973901,493,492,85,240,1454,667,6
973901,302,300,124,60,902,364,0
973901,634,629,214,192,1594,851,9
973901,781,778,234,48,3245,1094,6
973901,305,302,320,0,642,369,5
973901,589,586,176,228,1794,696,5
973901,344,342,135,0,916,492,5
973901,463,458,217,96,1249,609,10
973901,501,498,236,0,1288,616,7
973901,444,443,94,84,1420,614,7
973901,323,322,180,48,1097,397,1
973901,563,558,219,240,1828,710,7
973901,392,390,270,48,1251,465,6
200964,400,395,359,0,1186,814,18
200964,387,377,1344,0,989,802,49
200964,325,314,861,0,1147,738,27
200964,605,596,1056,0,2135,1429,52
213140,401,392,218,360,1858,892,47
213140,396,377,591,0,1997,904,61
213140,332,327,1193,0,2381,960,26
213140,613,606,2361,0,5506,1740,28
237741,401,399,98,0,1470,817,13
237741,395,387,901,0,1226,874,45
237741,449,445,2989,0,1546,922,11
237741,503,497,294,0,1621,1070,47
237741,311,307,1873,0,1139,714,29
237741,649,645,9969,0,2292,1347,15
237741,763,745,864,0,2316,1771,112
237741,331,327,312,0,1260,765,19
237741,657,654,2793,0,3317,1565,17
237741,368,359,1421,0,1150,794,32
237741,475,472,1511,0,1663,964,13
237741,507,496,585,0,1535,1044,34
237741,443,442,1177,0,1491,897,18
237741,340,337,563,0,985,775,41
237741,604,602,1423,0,3123,1376,17
237741,408,407,4401,0,2014,831,8
237755,401,397,41,432,1329,834,22
237755,395,380,471,144,1191,850,47
237755,449,447,624,0,1371,927,15
237755,503,499,556,0,1736,1062,17
237755,311,303,720,0,1227,727,28
237755,649,645,1334,0,2079,1342,21
237755,796,776,254,1080,2617,2227,137
237755,331,329,612,0,1517,760,9
237755,657,653,1008,0,2957,1582,30
237755,369,355,235,504,1295,872,46
237755,475,474,428,0,1688,985,12
237755,507,165,1944,0,242,1021,451
237755,443,442,390,0,1615,904,11
237755,340,335,441,0,998,783,27
237755,604,600,513,144,2160,1366,32
237755,408,407,632,0,1711,844,8
249816,401,399,119,132,978,813,31
249816,396,365,362,0,887,817,67
249816,450,445,231,0,1095,924,25
249816,504,498,77,168,1231,1036,39
249816,311,307,380,0,910,676,31
249816,651,647,299,96,1612,1337,35
249816,797,785,134,720,2276,1877,109
249816,332,313,373,0,843,741,36
249816,658,631,0,708,1744,1565,156
249816,369,367,382,0,979,763,24
249816,479,472,798,0,1183,968,32
